variable,run,ok,missatge
AVERAGE_LIGHTNING_STRIKE_DENSITY_OVER_3HOURS__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
BRIGHTNESS_TEMPERATURE__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
CONVECTIVE_AVAILABLE_POTENTIAL_ENERGY__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
CONVECTIVE_INHIBITION__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
DEW_POINT_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T12.00.00Z,KO,HTTP 404
DOWNWARD_DIRECT_SHORT_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
DOWNWARD_LONG_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
DOWNWARD_SHORT_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
GEOMETRIC_HEIGHT__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
GRAUPEL__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
HAIL__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
HIGH_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
LIGHTNING_STRIKE_DENSITY_CUMULATED__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
LONG_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
LOW_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
MEAN_LAYER_CAPE__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
MEDIUM_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
PLANETARY_BOUNDARY_LAYER_HEIGHT__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
PRECIPITABLE_WATER__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
PRECIPITATION_TYPE_60_MIN__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
PRESSURE__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
PRESSURE__MEAN_SEA_LEVEL,2026-08-17T12.00.00Z,KO,HTTP 404
REFLECTIVITY_MAX_DBZ__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
REFLECTIVITY_MAX__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
RELATIVE_HUMIDITY__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T12.00.00Z,KO,HTTP 404
SENSIBLE_HEAT_NET_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
SEVERE_PRECIPITATION_TYPE_60_MIN__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
SHORT_WAVE_RADIATION_FLUX_CLEAR_SKY__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
SHORT_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
SNOW_DEPTH__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
TEMPERATURE__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 502
TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T12.00.00Z,KO,HTTP 404
TOTAL_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
TOTAL_PRECIPITATION__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
TOTAL_SNOW_PRECIPITATION__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
TOTAL_WATER_PRECIPITATION__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
U_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T12.00.00Z,KO,HTTP 404
U_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T12.00.00Z,KO,HTTP 404
VISIBILITY_MINI_60MIN__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
VISIBILITY_MINI_PRECIP_60MIN__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
V_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T12.00.00Z,KO,HTTP 404
V_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T12.00.00Z,KO,HTTP 404
WATER_EQUIVALENT_ACCUMULATED_SNOW__GROUND_OR_WATER_SURFACE,2026-08-17T12.00.00Z,KO,HTTP 404
WET_BULB_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T12.00.00Z,KO,HTTP 404
WIND_SPEED_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T12.00.00Z,KO,HTTP 404
WIND_SPEED__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T12.00.00Z,KO,HTTP 404
