servei,variable,run,ok,missatge
arome0025,GEOMETRIC_HEIGHT__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 502
arome0025,BRIGHTNESS_TEMPERATURE__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,CONVECTIVE_AVAILABLE_POTENTIAL_ENERGY__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,CONVECTIVE_INHIBITION__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 502
arome0025,PRECIPITABLE_WATER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,TOTAL_WATER_PRECIPITATION__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,WIND_SPEED_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,WIND_SPEED__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,SHORT_WAVE_RADIATION_FLUX_CLEAR_SKY__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,SENSIBLE_HEAT_NET_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,DOWNWARD_DIRECT_SHORT_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,DOWNWARD_SHORT_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,DOWNWARD_LONG_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,LONG_WAVE_RADIATION_FLUX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,GRAUPEL__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,HAIL__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,SNOW_DEPTH__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,RELATIVE_HUMIDITY__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,PLANETARY_BOUNDARY_LAYER_HEIGHT__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,AVERAGE_LIGHTNING_STRIKE_DENSITY_OVER_3HOURS__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,LIGHTNING_STRIKE_DENSITY_CUMULATED__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,MEAN_LAYER_CAPE__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,LOW_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,HIGH_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,MEDIUM_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,TOTAL_CLOUD_COVER__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,TOTAL_SNOW_PRECIPITATION__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,TOTAL_PRECIPITATION__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,SEVERE_PRECIPITATION_TYPE_60_MIN__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,PRECIPITATION_TYPE_60_MIN__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,KO,HTTP 502
arome0025,PRESSURE__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,PRESSURE__MEAN_SEA_LEVEL,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,WATER_EQUIVALENT_ACCUMULATED_SNOW__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,REFLECTIVITY_MAX_DBZ__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,REFLECTIVITY_MAX__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,DEW_POINT_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,TEMPERATURE__GROUND_OR_WATER_SURFACE,2026-08-17T00.00.00Z,OK,OK — 13965/13965 punts vàlids
arome0025,TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,U_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,U_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,V_COMPONENT_OF_WIND_GUST__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
arome0025,V_COMPONENT_OF_WIND__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,2026-08-17T00.00.00Z,KO,HTTP 404
