servei,variable,ok,missatge
arome0025,ABSOLUTE_VORTICITY__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,ALTITUDE_TEMPERATURE__ISOTHERMAL_LEVEL_25315,OK,OK — 13965/13965 punts vàlids
arome0025,ALTITUDE_TEMPERATURE__ISOTHERMAL_LEVEL_26115,OK,OK — 13965/13965 punts vàlids
arome0025,ALTITUDE_TEMPERATURE__ISOTHERMAL_LEVEL_26315,OK,OK — 13965/13965 punts vàlids
arome0025,ALTITUDE_TEMPERATURE__ISOTHERMAL_LEVEL_27315,OK,OK — 13965/13965 punts vàlids
arome0025,ALTITUDE_TPW__ISOTHERMAL_LEVEL_27315,OK,OK — 13965/13965 punts vàlids
arome0025,ALTITUDE_TPW__ISOTHERMAL_LEVEL_27415,OK,OK — 13965/13965 punts vàlids
arome0025,ALTITUDE_TPW__ISOTHERMAL_LEVEL_27465,OK,OK — 13965/13965 punts vàlids
arome0025,AVERAGE_LIGHTNING_STRIKE_DENSITY_OVER_3HOURS__GROUND_OR_WATER_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,BRIGHTNESS_TEMPERATURE_62__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,BRIGHTNESS_TEMPERATURE__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,CLOUD_WATER__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,CLOUD_WATER__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,CONVECTIVE_AVAILABLE_POTENTIAL_ENERGY__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,CONVECTIVE_INHIBITION__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,DEW_POINT_TEMPERATURE__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,DEW_POINT_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,GEOMETRIC_HEIGHT__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,GEOPOTENTIAL__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,GEOPOTENTIAL__POTENTIAL_VORTICITY_SURFACE_1500,OK,OK — 13965/13965 punts vàlids
arome0025,GEOPOTENTIAL__POTENTIAL_VORTICITY_SURFACE_2000,OK,OK — 13965/13965 punts vàlids
arome0025,HIGH_CLOUD_COVER__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,LOW_CLOUD_COVER__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,MAXIMUM_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,MEAN_LAYER_CAPE__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,MEDIUM_CLOUD_COVER__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,MINIMUM_TEMPERATURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
arome0025,PLANETARY_BOUNDARY_LAYER_HEIGHT__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,POTENTIAL_TEMPERATURE__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,POTENTIAL_TEMPERATURE__POTENTIAL_VORTICITY_SURFACE_1500,OK,OK — 13965/13965 punts vàlids
arome0025,POTENTIAL_TEMPERATURE__POTENTIAL_VORTICITY_SURFACE_2000,OK,OK — 13965/13965 punts vàlids
arome0025,POTENTIAL_VORTICITY__ISOBARIC_SURFACE,KO,HTTP 404 — coverage no existeix
arome0025,PRECIPITABLE_WATER__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,PRECIPITATION_TYPE_60_MIN__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,PRESSURE__GROUND_OR_WATER_SURFACE,OK,OK — 13965/13965 punts vàlids
arome0025,PRESSURE__MEAN_SEA_LEVEL,OK,OK — 13965/13965 punts vàlids
arome0025,PRESSURE__SPECIFIC_HEIGHT_LEVEL_ABOVE_GROUND,KO,HTTP 404 — coverage no existeix
